result,algorithm_id,algorithm_version,algorithm,experimental,scenario,profile,mode,gated,input_rate,output_rate,channels,input_frames,output_frames,expected_output_frames,round_trip_frames,mse,snr_db,psnr_db,elapsed_ms,notes
"INFO","ratio_aware_sinc_hybrid","v1","Experimental RatioAwareSincHybrid","yes","Broadband 96k to 44.1k stereo","DeterministicNoise","RoundTrip","no","96000","44100","2","48000","22050","22050","48000","0.03760019390243167","2.5567581029866644","7.312269815711776","43","MSE 0.0376; SNR 2.56 dB; PSNR 7.31 dB"
"INFO","right_wing_sinc","v1","RightWingSinc","yes","Broadband 96k to 44.1k stereo","DeterministicNoise","RoundTrip","no","96000","44100","2","48000","22050","22050","48000","0.03903553127013944","2.3940580041777855","7.1495697169028976","72","MSE 0.03904; SNR 2.39 dB; PSNR 7.15 dB"
"INFO","sinc","v1","Sinc","no","Broadband 96k to 44.1k stereo","DeterministicNoise","RoundTrip","no","96000","44100","2","48000","22050","22050","48000","0.07185380749407923","-0.25583891239455936","4.4996728003305515","17","MSE 0.07185; SNR -0.26 dB; PSNR 4.50 dB"
"INFO","sinc_v2","v2","Sinc","no","Broadband 96k to 44.1k stereo","DeterministicNoise","RoundTrip","no","96000","44100","2","48000","22050","22050","48000","0.03819907089982985","2.488130949928458","7.243642662653568","44","MSE 0.0382; SNR 2.49 dB; PSNR 7.24 dB"
"INFO","sinc_v3","v3","Sinc","no","Broadband 96k to 44.1k stereo","DeterministicNoise","RoundTrip","no","96000","44100","2","48000","22050","22050","48000","0.03776016335097835","2.538320304744122","7.293832017469234","21","MSE 0.03776; SNR 2.54 dB; PSNR 7.29 dB"
"INFO","spline","v2","Spline","no","Broadband 96k to 44.1k stereo","DeterministicNoise","RoundTrip","no","96000","44100","2","48000","22050","22050","48000","0.057237435750146684","0.7318572583416026","5.487368971066714","5","MSE 0.05724; SNR 0.73 dB; PSNR 5.49 dB"
"INFO","wdl_sinc","v1","Experimental WDL_Sinc","yes","Broadband 96k to 44.1k stereo","DeterministicNoise","RoundTrip","no","96000","44100","2","48000","22049","22050","47997","0.06619059176135013","0.10069972178233626","4.856208023280458","5","MSE 0.06619; SNR 0.10 dB; PSNR 4.86 dB"
"PASS","cubic","v1","Experimental Cubic","yes","Music 48k to 44.1k stereo","HarmonicBlend","RoundTrip","yes","48000","44100","2","48000","44100","44100","48000","1.863364226370163E-08","61.233246168223076","74.15491492188768","2",""
"PASS","halfband_cascade","v1","HalfBandCascade","yes","Music 48k to 44.1k stereo","HarmonicBlend","RoundTrip","yes","48000","44100","2","48000","44100","44100","48000","2.504045627973403E-09","69.94980132096708","82.8714700746317","24",""
"PASS","hybrid","v1","Hybrid","no","Music 48k to 44.1k stereo","HarmonicBlend","RoundTrip","yes","48000","44100","2","48000","44100","44100","48000","1.2253229763764293E-09","73.05371793125721","85.97538668492183","26",""
"PASS","lagrange_fd","v1","Experimental LagrangeFractionalDelay","yes","Music 48k to 44.1k stereo","HarmonicBlend","RoundTrip","yes","48000","44100","2","48000","44100","44100","48000","2.5904650269293484E-09","69.8024463690521","82.72411512271673","18",""
"PASS","lanczos","v1","Experimental Lanczos","yes","Music 48k to 44.1k stereo","HarmonicBlend","RoundTrip","yes","48000","44100","2","48000","44099","44100","47998","5.00806506802631E-07","46.939616684837794","59.86119282783986","5",""
